id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
671,Secondary Psoriasis Type 3,L40.X,Dermatology,"Secondary Psoriasis Type 3 (ICD-10: L40.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Rare
672,Primary Type 2 Diabetes Mellitus,E11.X,Endocrinology,"Primary Type 2 Diabetes Mellitus (ICD-10: E11.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Uncommon
673,Early-Onset HIV/AIDS,B20.X,Infectious Disease,"Early-Onset HIV/AIDS (ICD-10: B20.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Very Common
674,Severe Unstable Angina,I20.0.X,Cardiology,"Severe Unstable Angina (ICD-10: I20.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Common
675,Colorectal Cancer,C18,Oncology,"Colorectal Cancer (ICD-10: C18) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Uncommon
676,Recurrent Bronchiectasis,J47.X,Pulmonology,"Recurrent Bronchiectasis (ICD-10: J47.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Rare
677,Acute Kidney Injury,N17,Nephrology,"Acute Kidney Injury (ICD-10: N17) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Rare
678,Idiopathic Pulmonary Tuberculosis,A15.X,Pulmonology,"Idiopathic Pulmonary Tuberculosis (ICD-10: A15.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
679,Severe Eczema/Atopic Dermatitis,L20.X,Dermatology,"Severe Eczema/Atopic Dermatitis (ICD-10: L20.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
680,Drug-Induced Cataracts,H26.X,Ophthalmology,"Drug-Induced Cataracts (ICD-10: H26.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Very Common
681,Severe Premature Labor Type 1,O60.X,Obstetrics,"Severe Premature Labor Type 1 (ICD-10: O60.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Uncommon
682,Migraine,G43,Neurology,"Migraine (ICD-10: G43) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Uncommon
683,Drug-Induced Rosacea,L71.X,Dermatology,"Drug-Induced Rosacea (ICD-10: L71.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Uncommon
684,Polycystic Ovarian Syndrome,E28.2,Gynecology,"Polycystic Ovarian Syndrome (ICD-10: E28.2) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Very Common
685,Drug-Induced Post-Traumatic Stress Disorder Type 1,F43.1.X,Psychiatry,"Drug-Induced Post-Traumatic Stress Disorder Type 1 (ICD-10: F43.1.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Very Common
686,Mild Pulmonary Embolism,I26.X,Pulmonology,"Mild Pulmonary Embolism (ICD-10: I26.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Very Common
687,Congenital Alcohol Use Disorder,F10.X,Psychiatry,"Congenital Alcohol Use Disorder (ICD-10: F10.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Rare
688,Drug-Induced Neonatal Jaundice,P59.X,Neonatology,"Drug-Induced Neonatal Jaundice (ICD-10: P59.X) is a clinical diagnosis managed under Neonatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Very Common
689,COVID-19,U07.1,Infectious Disease,"COVID-19 (ICD-10: U07.1) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Uncommon
690,Acute Tonsillitis,J35.0.X,ENT,"Acute Tonsillitis (ICD-10: J35.0.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Very Common
691,Post-Operative Deep Vein Thrombosis,I82.4.X,Vascular Surgery,"Post-Operative Deep Vein Thrombosis (ICD-10: I82.4.X) is a clinical diagnosis managed under Vascular Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Common
692,Autoimmune Thalassemia Type 4,D56.X,Hematology,"Autoimmune Thalassemia Type 4 (ICD-10: D56.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Rare
693,Ankylosing Spondylitis,M45,Rheumatology,"Ankylosing Spondylitis (ICD-10: M45) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Common
694,Severe Alzheimer's Disease,G30.X,Neurology,"Severe Alzheimer's Disease (ICD-10: G30.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Very Common
695,Chronic Urticaria,L50.X,Dermatology,"Chronic Urticaria (ICD-10: L50.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Common
696,Autoimmune Community-Acquired Pneumonia,J18.X,Pulmonology,"Autoimmune Community-Acquired Pneumonia (ICD-10: J18.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Rare
697,Chronic Pancreatitis,K86.1,Gastroenterology,"Chronic Pancreatitis (ICD-10: K86.1) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Rare
698,Late-Onset Leukemia,C91.X,Nephrology,"Late-Onset Leukemia (ICD-10: C91.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Uncommon
699,Chronic Aortic Stenosis,I35.0.X,Cardiology,"Chronic Aortic Stenosis (ICD-10: I35.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Rare
700,Autoimmune Leukemia Type 4,C91.X,Neurology,"Autoimmune Leukemia Type 4 (ICD-10: C91.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Rare
701,Multiple Myeloma,C90.0,Pediatrics,"Multiple Myeloma (ICD-10: C90.0) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Rare
702,Mild Lymphoma Type 2,C85.X,Dermatology,"Mild Lymphoma Type 2 (ICD-10: C85.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Common
703,Early-Onset Meningitis Type 3,G03.X,Neurology,"Early-Onset Meningitis Type 3 (ICD-10: G03.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Rare
704,Post-Operative Thalassemia,D56.X,Hematology,"Post-Operative Thalassemia (ICD-10: D56.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Very Common
705,Recurrent Kawasaki Disease Type 1,M30.3.X,Pediatrics,"Recurrent Kawasaki Disease Type 1 (ICD-10: M30.3.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Very Common
706,Severe Osteoarthritis,M19.X,Rheumatology,"Severe Osteoarthritis (ICD-10: M19.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Uncommon
707,Pneumothorax,J93,Pulmonology,"Pneumothorax (ICD-10: J93) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Common
708,Mild Acne Vulgaris,L70.0.X,Dermatology,"Mild Acne Vulgaris (ICD-10: L70.0.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Rare
709,Secondary Hypothyroidism,E03.X,Endocrinology,"Secondary Hypothyroidism (ICD-10: E03.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Rare
710,Bronchiectasis,J47,Pulmonology,"Bronchiectasis (ICD-10: J47) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Uncommon
711,Sepsis,A41.9,Critical Care,"Sepsis (ICD-10: A41.9) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Uncommon
712,Secondary Contact Dermatitis,L25.X,Dermatology,"Secondary Contact Dermatitis (ICD-10: L25.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Common
713,Post-Operative Gastrointestinal Bleeding,K92.2.X,Gastroenterology,"Post-Operative Gastrointestinal Bleeding (ICD-10: K92.2.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Very Common
714,Nephrotic Syndrome,N04,Nephrology,"Nephrotic Syndrome (ICD-10: N04) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Uncommon
