id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
570,Ezetimibe,Ezetimibe,Antibiotic,Dabur Pharma,Tablet,10mg,Ezetimibe 10mg Tablet is a cholesterol absorption inhibitor used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 10mg of active ingredient.,Cholesterol Absorption Inhibitor,Yes,Store below 25°C
571,Nitrofurantoin Forte,Nitrofurantoin Forte,Statin,Micro Labs,Capsule,25mg,Nitrofurantoin Forte 25mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Micro Labs. Each capsule contains 25mg of active ingredient.,Antibiotic,Yes,Store below 25°C
572,Lactulose XR,Lactulose XR,Bronchodilator,Mankind Pharma,Syrup,100mg,Lactulose XR 100mg Syrup is a laxative used in the management of various conditions. Manufactured by Mankind Pharma. Each syrup contains 100mg of active ingredient.,Laxative,No,Store in dry place
573,Montelukast Sustained Release,Montelukast,Oncology,Sun Pharma,Tablet,100mg,Montelukast Sustained Release 100mg Tablet is a leukotriene receptor antagonist used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 100mg of active ingredient.,Leukotriene Receptor Antagonist,Yes,Refrigerate 2-8°C
574,Mupirocin Forte,Mupirocin Forte,Antibiotic,Lupin,Ointment,50mg,Mupirocin Forte 50mg Ointment is a topical antibiotic used in the management of various conditions. Manufactured by Lupin. Each ointment contains 50mg of active ingredient.,Topical Antibiotic,Yes,Store in dry place
575,Cefuroxime,Cefuroxime,Statin,Abbott India,Tablet,500mg,Cefuroxime 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Abbott India. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Store in dry place
576,Artemether-Lumefantrine Extended Release,Artemether-Lumefantrine,Bronchodilator,Elder Pharma,Tablet,20mg,Artemether-Lumefantrine Extended Release 20mg Tablet is a antimalarial used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 20mg of active ingredient.,Antimalarial,No,Store in dry place
577,Finasteride,Finasteride,Antihypertensive,Mankind Pharma,Tablet,5mg,Finasteride 5mg Tablet is a 5-alpha reductase inhibitor used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 5mg of active ingredient.,5-Alpha Reductase Inhibitor,Yes,Refrigerate 2-8°C
578,Memantine Sustained Release,Memantine,Antihypertensive,Dabur Pharma,Tablet,50mg,Memantine Sustained Release 50mg Tablet is a nmda antagonist used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 50mg of active ingredient.,NMDA Antagonist,Yes,Store away from light
579,Codeine Sustained Release 578,Codeine,Immunosuppressant,Pfizer India,Tablet,50mg,Codeine Sustained Release 578 50mg Tablet is a opioid analgesic used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 50mg of active ingredient.,Opioid Analgesic,Yes,Store in dry place
580,Cefuroxime Forte,Cefuroxime Forte,NSAID,Cipla,Tablet,50mg,Cefuroxime Forte 50mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Cipla. Each tablet contains 50mg of active ingredient.,Antibiotic,Yes,Store below 25°C
581,Olanzapine,Olanzapine,Antibiotic,Max Healthcare Pharma,Tablet,5mg,Olanzapine 5mg Tablet is a antipsychotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 5mg of active ingredient.,Antipsychotic,Yes,Store in dry place
582,Ciprofloxacin SR 581,Ciprofloxacin SR,Antifungal,Wockhardt,Tablet,50mg,Ciprofloxacin SR 581 50mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 50mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
583,Clonazepam Dispersible,Clonazepam Dispersible,Ophthalmic,Dabur Pharma,Tablet,10mg,Clonazepam Dispersible 10mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 10mg of active ingredient.,Benzodiazepine,Yes,Store away from light
584,Tiotropium SR,Tiotropium SR,Antiepileptic,Cipla,Inhaler,20mg,Tiotropium SR 20mg Inhaler is a anticholinergic bronchodilator used in the management of various conditions. Manufactured by Cipla. Each inhaler contains 20mg of active ingredient.,Anticholinergic Bronchodilator,Yes,Store in dry place
585,Spironolactone Junior,Spironolactone Junior,Hormonal,Aristo Pharma,Tablet,50mg,Spironolactone Junior 50mg Tablet is a potassium-sparing diuretic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 50mg of active ingredient.,Potassium-Sparing Diuretic,No,Store in dry place
586,Ketorolac XR,Ketorolac XR,Oncology,Micro Labs,Injection,50mg,Ketorolac XR 50mg Injection is a nsaid used in the management of various conditions. Manufactured by Micro Labs. Each injection contains 50mg of active ingredient.,NSAID,No,Refrigerate 2-8°C
587,Metoprolol SR,Metoprolol SR,Urological,Cipla,Tablet,10mg,Metoprolol SR 10mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Cipla. Each tablet contains 10mg of active ingredient.,Beta Blocker,Yes,Store away from light
588,Amphotericin B Extended Release,Amphotericin B,Dermatological,Max Healthcare Pharma,Injection,250mg,Amphotericin B Extended Release 250mg Injection is a antifungal used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 250mg of active ingredient.,Antifungal,Yes,Refrigerate 2-8°C
589,Amoxicillin-Clavulanate SR,Amoxicillin-Clavulanate SR,Antiepileptic,Wockhardt,Tablet,50mg,Amoxicillin-Clavulanate SR 50mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 50mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
590,Latanoprost Eye Drops Extended Release,Latanoprost Eye Drops,Antipsychotic,Abbott India,Eye Drops,500mg,Latanoprost Eye Drops Extended Release 500mg Eye Drops is a prostaglandin analogue used in the management of various conditions. Manufactured by Abbott India. Each eye drops contains 500mg of active ingredient.,Prostaglandin Analogue,Yes,Store away from light
591,Imatinib Sustained Release,Imatinib,NSAID,Elder Pharma,Tablet,10mg,Imatinib Sustained Release 10mg Tablet is a tyrosine kinase inhibitor used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 10mg of active ingredient.,Tyrosine Kinase Inhibitor,Yes,Store away from light
592,Trastuzumab,Trastuzumab,Antihypertensive,Alkem Labs,Injection,440mg,Trastuzumab 440mg Injection is a her2 inhibitor used in the management of various conditions. Manufactured by Alkem Labs. Each injection contains 440mg of active ingredient.,HER2 Inhibitor,Yes,Store away from light
593,Vancomycin Dispersible,Vancomycin Dispersible,Oncology,Max Healthcare Pharma,Injection,10mg,Vancomycin Dispersible 10mg Injection is a antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each injection contains 10mg of active ingredient.,Antibiotic,No,Refrigerate 2-8°C
594,Tamsulosin XR,Tamsulosin XR,Vitamin/Supplement,Aurobindo Pharma,Capsule,20mg,Tamsulosin XR 20mg Capsule is a alpha blocker used in the management of various conditions. Manufactured by Aurobindo Pharma. Each capsule contains 20mg of active ingredient.,Alpha Blocker,No,Store away from light
595,Insulin Aspart SR 594,Insulin Aspart SR,Ophthalmic,Glenmark,Injection,10mg,Insulin Aspart SR 594 10mg Injection is a rapid-acting insulin used in the management of various conditions. Manufactured by Glenmark. Each injection contains 10mg of active ingredient.,Rapid-Acting Insulin,No,Refrigerate 2-8°C
596,Pioglitazone Dispersible,Pioglitazone Dispersible,Antihypertensive,Zydus Cadila,Tablet,25mg,Pioglitazone Dispersible 25mg Tablet is a thiazolidinedione used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 25mg of active ingredient.,Thiazolidinedione,Yes,Store away from light
597,Vitamin B Complex Dispersible,Vitamin B Complex Dispersible,Urological,IPCA Labs,Tablet,25mg,Vitamin B Complex Dispersible 25mg Tablet is a vitamin used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 25mg of active ingredient.,Vitamin,Yes,Store below 25°C
598,Mebendazole,Mebendazole,Antifungal,Johnson & Johnson,Tablet,100mg,Mebendazole 100mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 100mg of active ingredient.,Anthelmintic,Yes,Store in dry place
599,Dopamine IV,Dopamine IV,Proton Pump Inhibitor,Torrent Pharma,Injection,250mg,Dopamine IV 250mg Injection is a vasopressor used in the management of various conditions. Manufactured by Torrent Pharma. Each injection contains 250mg of active ingredient.,Vasopressor,Yes,Store in dry place
600,Olmesartan Junior,Olmesartan Junior,Ophthalmic,Sanofi India,Tablet,10mg,Olmesartan Junior 10mg Tablet is a arb used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 10mg of active ingredient.,ARB,Yes,Store in dry place
601,Amlodipine Forte 600,Amlodipine Forte,Corticosteroid,Pfizer India,Tablet,250mg,Amlodipine Forte 600 250mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 250mg of active ingredient.,Calcium Channel Blocker,Yes,Refrigerate 2-8°C
602,Mupirocin SR 601,Mupirocin SR,Antibiotic,Emcure Pharma,Ointment,100mg,Mupirocin SR 601 100mg Ointment is a topical antibiotic used in the management of various conditions. Manufactured by Emcure Pharma. Each ointment contains 100mg of active ingredient.,Topical Antibiotic,No,Refrigerate 2-8°C
603,Clopidogrel Dispersible,Clopidogrel Dispersible,Corticosteroid,Johnson & Johnson,Tablet,25mg,Clopidogrel Dispersible 25mg Tablet is a antiplatelet used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 25mg of active ingredient.,Antiplatelet,No,Store below 25°C
604,Dextromethorphan XR,Dextromethorphan XR,NSAID,Lupin,Syrup,25mg,Dextromethorphan XR 25mg Syrup is a cough suppressant used in the management of various conditions. Manufactured by Lupin. Each syrup contains 25mg of active ingredient.,Cough Suppressant,Yes,Refrigerate 2-8°C
605,Ondansetron IV,Ondansetron IV,Statin,Sanofi India,Tablet,100mg,Ondansetron IV 100mg Tablet is a antiemetic used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 100mg of active ingredient.,Antiemetic,Yes,Store below 25°C
606,Glibenclamide Sustained Release,Glibenclamide,Oncology,IPCA Labs,Tablet,25mg,Glibenclamide Sustained Release 25mg Tablet is a sulfonylurea used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 25mg of active ingredient.,Sulfonylurea,Yes,Store in dry place
607,Tobramycin Eye Drops SR,Tobramycin Eye Drops SR,Immunosuppressant,Emcure Pharma,Eye Drops,25mg,Tobramycin Eye Drops SR 25mg Eye Drops is a antibiotic used in the management of various conditions. Manufactured by Emcure Pharma. Each eye drops contains 25mg of active ingredient.,Antibiotic,Yes,Store in dry place
608,Albendazole,Albendazole,NSAID,Novartis India,Tablet,400mg,Albendazole 400mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 400mg of active ingredient.,Anthelmintic,No,Refrigerate 2-8°C
609,Hydroxychloroquine Forte,Hydroxychloroquine Forte,Cardiac,Aristo Pharma,Tablet,250mg,Hydroxychloroquine Forte 250mg Tablet is a antimalarial/dmard used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 250mg of active ingredient.,Antimalarial/DMARD,Yes,Store away from light
610,Folic Acid Forte,Folic Acid Forte,NSAID,Sanofi India,Tablet,500mg,Folic Acid Forte 500mg Tablet is a vitamin used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 500mg of active ingredient.,Vitamin,No,Store below 25°C
611,Olmesartan SR,Olmesartan SR,Hormonal,Glenmark,Tablet,500mg,Olmesartan SR 500mg Tablet is a arb used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 500mg of active ingredient.,ARB,Yes,Store in dry place
612,Cefixime Extended Release,Cefixime,Antibiotic,Pfizer India,Capsule,25mg,Cefixime Extended Release 25mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Pfizer India. Each capsule contains 25mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
613,Vitamin C XR,Vitamin C XR,Dermatological,Himalaya,Tablet,10mg,Vitamin C XR 10mg Tablet is a vitamin used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 10mg of active ingredient.,Vitamin,Yes,Store below 25°C
614,Enoxaparin Plus,Enoxaparin,Ophthalmic,Emcure Pharma,Injection,50mg,Enoxaparin Plus 50mg Injection is a lmwh used in the management of various conditions. Manufactured by Emcure Pharma. Each injection contains 50mg of active ingredient.,LMWH,Yes,Store below 25°C
615,Simvastatin SR,Simvastatin SR,Urological,Glenmark,Tablet,500mg,Simvastatin SR 500mg Tablet is a statin used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 500mg of active ingredient.,Statin,Yes,Store in dry place
616,Atenolol Extended Release,Atenolol,Analgesic,Lupin,Tablet,250mg,Atenolol Extended Release 250mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Lupin. Each tablet contains 250mg of active ingredient.,Beta Blocker,Yes,Store away from light
617,Clotrimazole IV,Clotrimazole IV,Antiviral,Zydus Cadila,Cream,25mg,Clotrimazole IV 25mg Cream is a antifungal used in the management of various conditions. Manufactured by Zydus Cadila. Each cream contains 25mg of active ingredient.,Antifungal,Yes,Store in dry place
618,Omega-3 Fatty Acids XR 617,Omega-3 Fatty Acids XR,Dermatological,Aurobindo Pharma,Capsule,20mg,Omega-3 Fatty Acids XR 617 20mg Capsule is a supplement used in the management of various conditions. Manufactured by Aurobindo Pharma. Each capsule contains 20mg of active ingredient.,Supplement,Yes,Refrigerate 2-8°C
619,Sacubitril-Valsartan Plus,Sacubitril-Valsartan,Cardiac,Novartis India,Tablet,25mg,Sacubitril-Valsartan Plus 25mg Tablet is a arni used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 25mg of active ingredient.,ARNi,Yes,Store below 25°C
620,Rabeprazole Forte,Rabeprazole Forte,Bronchodilator,Cipla,Tablet,20mg,Rabeprazole Forte 20mg Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Cipla. Each tablet contains 20mg of active ingredient.,Proton Pump Inhibitor,Yes,Store in dry place
621,Cotrimoxazole Forte 620,Cotrimoxazole Forte,Antiviral,Aurobindo Pharma,Tablet,25mg,Cotrimoxazole Forte 620 25mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 25mg of active ingredient.,Antibiotic,No,Store below 25°C
